"cbsa10","cbsaname10","intptlon","intptlat","pop10","afact"
"CBSA (2010)","2010 CBSA name","Wtd centroid W longitude, degrees","Wtd centroid latitude, degrees","Population (2010)","_us_ to cbsa10 allocation factor"
"18880","Crestview-Fort Walton Beach-Destin, FL Metropolitan Statistical Area",-86.567095,30.542829,180822,0.000586 
"18900","Crossville, TN Micropolitan Statistical Area",-85.020113,35.954566,56053,0.000182 
"18940","Crowley, LA Micropolitan Statistical Area",-92.351781,30.278556,61773,0.0002 
"18980","Cullman, AL Micropolitan Statistical Area",-86.831816,34.162363,80406,0.00026 
"19020","Culpeper, VA Micropolitan Statistical Area",-77.997838,38.500155,46689,0.000151 
"19060","Cumberland, MD-WV Metropolitan Statistical Area",-78.84615,39.584383,103299,0.000335 
"19100","Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area",-96.946984,32.850741,6371773,0.020638 
"19140","Dalton, GA Metropolitan Statistical Area",-84.917304,34.789841,142227,0.000461 
"19180","Danville, IL Metropolitan Statistical Area",-87.654819,40.149683,81625,0.000264 
"19220","Danville, KY Micropolitan Statistical Area",-84.739186,37.560093,53174,0.000172 
"19260","Danville, VA Metropolitan Statistical Area",-79.409681,36.698968,106561,0.000345 
"19300","Daphne-Fairhope-Foley, AL Micropolitan Statistical Area",-87.762466,30.548923,182265,0.00059 
"19340","Davenport-Moline-Rock Island, IA-IL Metropolitan Statistical Area",-90.490598,41.490778,379690,0.00123 
"19380","Dayton, OH Metropolitan Statistical Area",-84.191344,39.778875,841502,0.002726 
"19460","Decatur, AL Metropolitan Statistical Area",-87.007087,34.520822,153829,0.000498 
"19500","Decatur, IL Metropolitan Statistical Area",-88.947074,39.851176,110768,0.000359 
"19540","Decatur, IN Micropolitan Statistical Area",-84.934313,40.753767,34387,0.000111 
"19580","Defiance, OH Micropolitan Statistical Area",-84.449121,41.295399,39037,0.000126 
"19620","Del Rio, TX Micropolitan Statistical Area",-100.898088,29.38073,48879,0.000158 
"19660","Deltona-Daytona Beach-Ormond Beach, FL Metropolitan Statistical Area",-81.123881,29.073726,494593,0.001602 
"19700","Deming, NM Micropolitan Statistical Area",-107.740444,32.217488,25095,0.000081 
"19740","Denver-Aurora-Broomfield, CO Metropolitan Statistical Area",-104.959472,39.703967,2543482,0.008238 
"19760","DeRidder, LA Micropolitan Statistical Area",-93.287121,30.733885,35654,0.000115 
"19780","Des Moines-West Des Moines, IA Metropolitan Statistical Area",-93.694793,41.601078,569633,0.001845 
"19820","Detroit-Warren-Livonia, MI Metropolitan Statistical Area",-83.195596,42.500767,4296250,0.013915 
"19860","Dickinson, ND Micropolitan Statistical Area",-102.801475,46.884034,24982,0.000081 
"19900","Dillon, SC Micropolitan Statistical Area",-79.359951,34.394711,32062,0.000104 
"19940","Dixon, IL Micropolitan Statistical Area",-89.398295,41.810243,36031,0.000117 
"19980","Dodge City, KS Micropolitan Statistical Area",-99.994867,37.751112,33848,0.00011 
"20020","Dothan, AL Metropolitan Statistical Area",-85.449825,31.216819,145639,0.000472 
"20060","Douglas, GA Micropolitan Statistical Area",-82.848221,31.483198,50731,0.000164 
"20100","Dover, DE Metropolitan Statistical Area",-75.558641,39.12322,162310,0.000526 
"20140","Dublin, GA Micropolitan Statistical Area",-82.883996,32.548045,58414,0.000189 
"20180","DuBois, PA Micropolitan Statistical Area",-78.495977,40.988405,81642,0.000264 
"20220","Dubuque, IA Metropolitan Statistical Area",-90.759885,42.493726,93653,0.000303 
"20260","Duluth, MN-WI Metropolitan Statistical Area",-92.29416,46.957867,279771,0.000906 
"20300","Dumas, TX Micropolitan Statistical Area",-101.956196,35.904749,21904,0.000071 
"20340","Duncan, OK Micropolitan Statistical Area",-97.945597,34.517163,45048,0.000146 
"20380","Dunn, NC Micropolitan Statistical Area",-78.847033,35.359863,114678,0.000371 
"20420","Durango, CO Micropolitan Statistical Area",-107.806198,37.265199,51334,0.000166 
"20460","Durant, OK Micropolitan Statistical Area",-96.383796,33.977295,42416,0.000137 
"20500","Durham-Chapel Hill, NC Metropolitan Statistical Area",-78.999292,35.985912,504357,0.001634 
"20540","Dyersburg, TN Micropolitan Statistical Area",-89.359369,36.058798,38335,0.000124 
"20580","Eagle Pass, TX Micropolitan Statistical Area",-100.481016,28.70947,54258,0.000176 
"20620","East Liverpool-Salem, OH Micropolitan Statistical Area",-80.730371,40.777775,107841,0.000349 
"20660","Easton, MD Micropolitan Statistical Area",-76.098116,38.769665,37782,0.000122 
"20700","East Stroudsburg, PA Micropolitan Statistical Area",-75.308175,41.037308,169842,0.00055 
"20740","Eau Claire, WI Metropolitan Statistical Area",-91.405559,44.866393,161151,0.000522 
"20780","Edwards, CO Micropolitan Statistical Area",-106.667284,39.556019,59507,0.000193 
"20820","Effingham, IL Micropolitan Statistical Area",-88.576023,39.094724,34242,0.000111 
"20900","El Campo, TX Micropolitan Statistical Area",-96.175589,29.276822,41280,0.000134 
"20940","El Centro, CA Metropolitan Statistical Area",-115.534587,32.841102,174528,0.000565 
"20980","El Dorado, AR Micropolitan Statistical Area",-92.645117,33.20687,41639,0.000135 
